"","Day","r1","r2","r3"
"1",0,1.71827855311849,1.56495819211309,1.30317520895358
"2",1,1.11717418595064,0.979995097691639,1.17395356158357
"3",2,1.29886640474679,0.943941204832867,0.91286872514497
"4",3,1.18976251937134,0.859370626514056,0.832053899493434
"5",4,0.885154855745042,0.712986576693417,0.740859536345121
"6",5,0.725431581898624,0.633227948426113,0.601570479172054
"7",6,0.73665345849363,0.635839202687344,0.573123538624127
"8",7,0.735434733652125,0.628342887227096,0.573202667261845
"9",8,0.732949074593194,0.601817801448601,0.501902801512113
"10",9,0.718775029853624,0.57746105771596,0.503763007790257
