"year","nm","lnih","lnhd","clnih","lnih2","clnih2","slnih","slnih2","lncost","lnrain","lnsurge","lnpress","lneTK12","low1","low2","me","nh","ma","ri","ct","ny","nj","de","md","va","nc","sc","ga","fl","al","ms","la","tx","lninc","vwind"
1955,"Connie",0.75950357,1.5907383,-2.5813054,0.57684568,5.5254267,-2.4094073,4.6533616,17.50439,2.5832426,2.0794415,-6.8690145,4.8471703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.25894,0.16562047
1955,"Diane",1.1282514,2.891183,-2.2125576,1.2729512,3.7577002,-2.0652157,3.1646312,17.529229,2.9831535,1.7917595,-6.89467,3.0660529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.561573,0.06745818
1955,"Ione",0.86247068,1.7676889,-2.4783383,0.74385567,5.0044498,-2.3132971,4.2146092,18.293245,2.8112083,1.2809338,-6.8617113,4.3189032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8270384,0.22857143
1956,"Flossy",1.6331295,2.8085568,-1.7076795,2.6671118,1.7784584,-1.5939592,1.4977685,17.025305,2.8154087,2.00148,-6.8814113,3.4313289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12.871368,0.06745818
1957,"Audrey",2.0813481,2.3875366,-1.2594609,4.3320098,0.44853084,-1.175589,0.37774027,18.826146,2.3636802,2.4849066,-6.8522426,4.2474743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.943597,0.5
1958,"Helene",1.6249494,2.7839342,-1.7158596,2.6404606,1.8064631,-1.6015945,1.5213533,16.231424,2.11505,2.014903,-6.8437499,3.6135932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.741805,0.5
1959,"Cindy",1.6246722,3.7000336,-1.7161367,2.6395599,1.8074143,-1.6018532,1.5221544,11.225243,2.2813615,1.3862944,-6.9027427,3.6897641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.780394,0.01538462
1959,"Gracie",1.8010012,3.4155712,-1.5398077,3.2436055,1.2332969,-1.4372666,1.0386486,16.454568,2.5802168,2.4849066,-6.8575141,4.0735852,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.076862,0.55974522
1960,"Donna1",2.8472185,2.4173688,-0.49359049,8.1066532,-0.8940794,-0.46072058,-0.75296894,19.519293,2.5832426,2.5649494,-6.8351846,3.3553146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.664814,0.66137566
1960,"Donna2",1.5953572,2.7069057,-1.7454518,2.5451647,1.9088909,-1.629216,1.6076151,17.849751,1.8718022,2.0794415,-6.8648478,4.4793259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.158358,0.36656891
1960,"Donna3",2.1653196,5.636624,-1.1754894,4.6886089,0.24406438,-1.0972095,0.20554427,17.216708,2.0794415,2.3025851,-6.8679744,3.6768442,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15.652611,0.22857143
1961,"Carla",1.5649339,2.3528494,-1.7758751,2.449018,2.0160215,-1.6576134,1.6978376,19.827268,2.8599126,2.8094027,-6.8362593,2.9088535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.420272,0.66137566
1963,"Cindy",1.6619187,4.2642629,-1.6788903,2.7619738,1.6809616,-1.5670871,1.4156593,16.346028,3.1570004,1.6094379,-6.9037473,3.8490235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.501281,0.01538462
1964,"Cleo",1.9104348,4.7223939,-1.4303742,3.6497612,0.90825929,-1.3351206,0.76491086,18.671439,2.6623552,1.7917595,-6.8752321,2.715771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.376337,0.22857143
1964,"Dora",1.9935208,4.5033746,-1.3472882,3.9741253,0.67747442,-1.2575675,0.57055022,19.336971,3.1667401,2.4849066,-6.8731638,3.4932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.021441,0.36656891
1964,"Hilda",1.777451,2.7896286,-1.563358,3.1593321,1.3063772,-1.4592485,1.1001947,18.643824,2.8741295,2.3025851,-6.856462,3.539128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.795195,0.36656891
1964,"Isbell",2.2250275,3.2962518,-1.1157814,4.9507476,0.10725727,-1.0414777,0.09032911,16.118096,2.2470724,1.6094379,-6.8814113,2.9245152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.133738,0.5
