"year","nm","lnih","lnhd","clnih","lnih2","clnih2","slnih","slnih2","lncost","lnrain","lnsurge","lnpress","lneTK12","low1","low2","me","nh","ma","ri","ct","ny","nj","de","md","va","nc","sc","ga","fl","al","ms","la","tx","lninc","vwind"
1955,"Connie",0.75950357,1.5907383,-2.6621763,0.57684568,5.8843096,-2.4171845,4.6177346,17.50439,2.5832426,2.0794415,-6.8690145,4.8471703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.25894,0.16562047
1955,"Diane",1.1282514,2.891183,-2.2934284,1.2729512,4.0569412,-2.0823714,3.1837002,17.529229,2.9831535,1.7917595,-6.89467,3.0660529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.561573,0.06745818
1955,"Ione",0.86247068,1.7676889,-2.5592092,0.74385567,5.3466787,-2.3236932,4.1958267,18.293245,2.8112083,1.2809338,-6.8617113,4.3189032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8270384,0.22857143
1956,"Flossy",1.6331295,2.8085568,-1.7885504,2.6671118,1.9960396,-1.6239557,1.5663998,17.025305,2.8154087,2.00148,-6.8814113,3.4313289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12.871368,0.06745818
1957,"Audrey",2.0813481,2.3875366,-1.3403318,4.3320098,0.59361641,-1.2169852,0.46584276,18.826146,2.3636802,2.4849066,-6.8522426,4.2474743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.943597,0.5
1958,"Helene",1.6249494,2.7839342,-1.7967304,2.6404606,2.0253674,-1.631383,1.5894148,16.231424,2.11505,2.014903,-6.8437499,3.6135932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.741805,0.5
1959,"Cindy",1.6246722,3.7000336,-1.7970076,2.6395599,2.0263634,-1.6316346,1.5901965,11.225243,2.2813615,1.3862944,-6.9027427,3.6897641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.780394,0.01538462
1959,"Gracie",1.8010012,3.4155712,-1.6206786,3.2436055,1.4237263,-1.4715326,1.1172747,16.454568,2.5802168,2.4849066,-6.8575141,4.0735852,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.076862,0.55974522
1960,"Donna1",2.8472185,2.4173688,-0.57446133,8.1066532,-0.872867,-0.52159546,-0.68498574,19.519293,2.5832426,2.5649494,-6.8351846,3.3553146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.664814,0.66137566
1960,"Donna2",1.5953572,2.7069057,-1.8263226,2.5451647,2.1325815,-1.6582519,1.6735515,17.849751,1.8718022,2.0794415,-6.8648478,4.4793259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.158358,0.36656891
1960,"Donna3",2.1653196,5.636624,-1.2563602,4.6886089,0.37556825,-1.1407414,0.29472863,17.216708,2.0794415,2.3025851,-6.8679744,3.6768442,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15.652611,0.22857143
1961,"Carla",1.5649339,2.3528494,-1.856746,2.449018,2.2446328,-1.6858755,1.7614842,19.827268,2.8599126,2.8094027,-6.8362593,2.9088535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.420272,0.66137566
1963,"Cindy",1.6619187,4.2642629,-1.7597611,2.7619738,1.8938863,-1.5978158,1.4862346,16.346028,3.1570004,1.6094379,-6.9037473,3.8490235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.501281,0.01538462
1964,"Cleo",1.9104348,4.7223939,-1.511245,3.6497612,1.0809887,-1.3721699,0.84831001,18.671439,2.6623552,1.7917595,-6.8752321,2.715771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.376337,0.22857143
1964,"Dora",1.9935208,4.5033746,-1.428159,3.9741253,0.83676532,-1.29673,0.65665481,19.336971,3.1667401,2.4849066,-6.8731638,3.4932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.021441,0.36656891
1964,"Hilda",1.777451,2.7896286,-1.6442288,3.1593321,1.5006155,-1.4929156,1.1776138,18.643824,2.8741295,2.3025851,-6.856462,3.539128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.795195,0.36656891
1964,"Isbell",2.2250275,3.2962518,-1.1966523,4.9507476,0.22910388,-1.0865281,0.17979015,16.118096,2.2470724,1.6094379,-6.8814113,2.9245152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.133738,0.5
1965,"Betsy1",2.0006961,4.9476626,-1.4209837,4.002785,0.81632186,-1.290215,0.64061172,18.752643,2.3978953,2.1972246,-6.858565,4.1435781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.94907,0.73979822
1965,"Betsy2",1.9679691,4.6117136,-1.4537107,3.8729026,0.91040194,-1.3199303,0.71444143,20.971008,2.5022553,2.7212954,-6.8543545,4.8729663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.649272,0.55974522
1966,"Alma1",2.0883485,2.9465606,-1.3333313,4.3611996,0.57489953,-1.210629,0.45115462,12.715898,2.296567,1.6094379,-6.8775022,4.2859229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.66137566
1966,"Alma2",1.6651082,1.5601306,-1.7565717,2.7725852,1.8826712,-1.5949199,1.4774334,16.123083,2.1972246,2.3025851,-6.8895913,3.8757061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.152171,0.11111111
1966,"Inez",2.0883485,2.9465606,-1.3333313,4.3611996,0.57489953,-1.210629,0.45115462,15.424948,1.5686159,1.6094379,-6.8906091,2.9241547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.06745818
1967,"Beulah",1.8407786,3.3486741,-1.5809012,3.388466,1.2963758,-1.4354158,1.0173359,19.113828,3.3098128,2.4849066,-6.856462,3.4087871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.608703,0.77142857
1968,"Gladys",2.0248325,2.6872553,-1.3968473,4.0999466,0.74830968,-1.2682999,0.5872389,15.717618,2.6246686,1.8718022,-6.8844867,3.3155722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.693863,0.03571429
1969,"Camille",2.4310782,3.2825556,-0.99060167,5.910141,-0.22158116,-0.89943971,-0.17388667,20.970126,2.3085672,2.7080502,-6.8123451,3.3933083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13.344747,0.82236842
1969,"Gerda",1.6901322,1.7019928,-1.7315476,2.8565468,1.7953844,-1.5721987,1.4089348,10.221941,1.7351891,1.7917595,-6.8875526,4.6536907,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23673,0.2967033
1970,"Celia",2.4224545,3.6389064,-0.99922531,5.8682859,-0.2044216,-0.90726975,-0.16042064,20.650695,1.9823798,2.2192035,-6.8511849,3.3211621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.911415,0.5
1971,"Edith",2.1931527,2.381398,-1.2285271,4.809919,0.30640598,-1.1154696,0.24045327,17.224345,3.2580965,1.7917595,-6.8865316,3.8699677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.646033,0.01538462
1971,"Fern",2.4379893,3.2091427,-0.98369054,5.9437918,-0.23522575,-0.89316459,-0.18459431,17.034386,2.1587147,1.7578579,-6.8855097,3.6634765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.422817,0.16562047
1971,"Ginger",2.1059817,3.2729641,-1.3156981,4.4351591,0.52818864,-1.1946185,0.41449807,16.118096,2.745988,1.3862944,-6.9027427,4.6959587,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.639999,0.01538462
1972,"Agnes",1.8877144,1.9379706,-1.5339654,3.5634658,1.150177,-1.3927994,0.90260583,17.249498,2.1317968,1.9459101,-6.8875526,4.1673904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.825064,0.01538462
1974,"Carmen",2.6482937,3.1919627,-0.77338616,7.0134594,-0.60474668,-0.70221386,-0.47457728,18.826146,2.5802168,1.7917595,-6.858565,3.7925378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.687978,0.7032967
1975,"Eloise",2.6985385,3.3580527,-0.72314132,7.2821101,-0.67993946,-0.65659289,-0.53358511,20.009916,2.7013612,2.7850112,-6.8617113,4.6273785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.974412,0.5
1976,"Belle",3.2835185,6.5261749,-0.13816129,10.781494,-1.1837843,-0.12544674,-0.92897928,18.420681,1.9169226,2.1804175,-6.8875526,3.6650854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.897683,0.11111111
