"year","nm","lnih","lnhd","clnih","lnih2","clnih2","slnih","slnih2","lncost","lnrain","lnsurge","lnpress","lneTK12","low1","low2","me","nh","ma","ri","ct","ny","nj","de","md","va","nc","sc","ga","fl","al","ms","la","tx","lninc","vwind"
1955,"Connie",0.75950357,1.5907383,-2.3244231,0.57684568,4.414942,-2.3262841,4.5196563,17.50439,2.5832426,2.0794415,-6.8690145,4.8471703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.25894,0.16562047
1955,"Diane",1.1282514,2.891183,-1.9556752,1.2729512,2.836665,-1.9572411,2.9039456,17.529229,2.9831535,1.7917595,-6.89467,3.0660529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.561573,0.06745818
1955,"Ione",0.86247068,1.7676889,-2.221456,0.74385567,3.946866,-2.2232346,4.0404784,18.293245,2.8112083,1.2809338,-6.8617113,4.3189032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8270384,0.22857143
1956,"Flossy",1.6331295,2.8085568,-1.4507972,2.6671118,1.1168119,-1.4519588,1.1433006,17.025305,2.8154087,2.00148,-6.8814113,3.4313289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12.871368,0.06745818
1957,"Audrey",2.0813481,2.3875366,-1.0025786,4.3320098,0.01716317,-1.0033813,0.01757025,18.826146,2.3636802,2.4849066,-6.8522426,4.2474743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.943597,0.5
1958,"Helene",1.6249494,2.7839342,-1.4589772,2.6404606,1.1406139,-1.4601454,1.1676672,16.231424,2.11505,2.014903,-6.8437499,3.6135932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.741805,0.5
1959,"Cindy",1.6246722,3.7000336,-1.4592544,2.6395599,1.1414228,-1.4604227,1.1684952,11.225243,2.2813615,1.3862944,-6.9027427,3.6897641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.780394,0.01538462
1959,"Gracie",1.8010012,3.4155712,-1.2829254,3.2436055,0.65789696,-1.2839526,0.67350107,16.454568,2.5802168,2.4849066,-6.8575141,4.0735852,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.076862,0.55974522
1960,"Donna1",2.8472185,2.4173688,-0.23670813,8.1066532,-0.93196986,-0.23689766,-0.95407448,19.519293,2.5832426,2.5649494,-6.8351846,3.3553146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.664814,0.66137566
1960,"Donna2",1.5953572,2.7069057,-1.4885694,2.5451647,1.2278383,-1.4897612,1.2569604,17.849751,1.8718022,2.0794415,-6.8648478,4.4793259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.158358,0.36656891
1960,"Donna3",2.1653196,5.636624,-0.91860705,4.6886089,-0.14416169,-0.91934254,-0.14758094,17.216708,2.0794415,2.3025851,-6.8679744,3.6768442,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15.652611,0.22857143
1961,"Carla",1.5649339,2.3528494,-1.5189928,2.449018,1.3193384,-1.520209,1.3506307,19.827268,2.8599126,2.8094027,-6.8362593,2.9088535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.420272,0.66137566
1963,"Cindy",1.6619187,4.2642629,-1.4220079,2.7619738,1.0341059,-1.4231464,1.058633,16.346028,3.1570004,1.6094379,-6.9037473,3.8490235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.501281,0.01538462
1964,"Cleo",1.9104348,4.7223939,-1.1734918,3.6497612,0.38908242,-1.1744314,0.39831075,18.671439,2.6623552,1.7917595,-6.8752321,2.715771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.376337,0.22857143
1964,"Dora",1.9935208,4.5033746,-1.0904058,3.9741253,0.20098421,-1.0912788,0.20575119,19.336971,3.1667401,2.4849066,-6.8731638,3.4932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.021441,0.36656891
1964,"Hilda",1.777451,2.7896286,-1.3064756,3.1593321,0.71887791,-1.3075216,0.73592838,18.643824,2.8741295,2.3025851,-6.856462,3.539128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.795195,0.36656891
1964,"Isbell",2.2250275,3.2962518,-0.85889909,4.9507476,-0.25029296,-0.85958677,-0.25622945,16.118096,2.2470724,1.6094379,-6.8814113,2.9245152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.133738,0.5
1965,"Betsy1",2.0006961,4.9476626,-1.0832305,4.002785,0.18538772,-1.0840978,0.18978478,18.752643,2.3978953,2.1972246,-6.858565,4.1435781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.94907,0.73979822
1965,"Betsy2",1.9679691,4.6117136,-1.1159575,3.8729026,0.25736051,-1.116851,0.26346463,20.971008,2.5022553,2.7212954,-6.8543545,4.8729663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.649272,0.55974522
1966,"Alma1",2.0883485,2.9465606,-0.9955781,4.3611996,0.00317515,-0.99637522,0.00325046,12.715898,2.296567,1.6094379,-6.8775022,4.2859229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.66137566
1966,"Alma2",1.6651082,1.5601306,-1.4188185,2.7725852,1.0250452,-1.4199544,1.0493574,16.123083,2.1972246,2.3025851,-6.8895913,3.8757061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.152171,0.11111111
1966,"Inez",2.0883485,2.9465606,-0.9955781,4.3611996,0.00317515,-0.99637522,0.00325046,15.424948,1.5686159,1.6094379,-6.8906091,2.9241547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.06745818
1967,"Beulah",1.8407786,3.3486741,-1.243148,3.388466,0.55741633,-1.2441433,0.57063723,19.113828,3.3098128,2.4849066,-6.856462,3.4087871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.608703,0.77142857
1968,"Gladys",2.0248325,2.6872553,-1.0590941,4.0999466,0.1336798,-1.0599421,0.13685044,15.717618,2.6246686,1.8718022,-6.8844867,3.3155722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.693863,0.03571429
1969,"Camille",2.3601852,3.2825556,-0.72374139,5.5704744,-0.46419901,-0.72432085,-0.47520896,20.970126,2.3085672,2.7080502,-6.8123451,3.3933083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13.273855,0.82236842
1969,"Gerda",1.6699003,1.7019928,-1.4140263,2.788567,1.0114699,-1.4151585,1.0354601,10.221941,1.7351891,1.7917595,-6.8875526,4.6536907,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.216499,0.2967033
1970,"Celia",2.358068,3.6389064,-0.72585862,5.5604848,-0.46112987,-0.72643978,-0.47206703,20.650695,1.9823798,2.2192035,-6.8511849,3.3211621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.847029,0.5
1971,"Fern",2.1719525,2.381398,-0.91197414,4.7173776,-0.15630377,-0.91270432,-0.16001101,17.224345,3.2580965,1.7917595,-6.8865316,3.8699677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.624832,0.01538462
1971,"Edith",2.3900596,3.2091427,-0.69386704,5.7123849,-0.50654914,-0.69442258,-0.51856356,17.034386,2.1587147,1.7578579,-6.8855097,3.6634765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.374887,0.16562047
1971,"Ginger",1.986063,3.2729641,-1.0978636,3.9444463,0.21730394,-1.0987426,0.22245799,16.118096,2.745988,1.3862944,-6.9027427,4.6959587,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.52008,0.01538462
1972,"Agnes",1.8590984,1.9379706,-1.2248282,3.4562468,0.51220361,-1.2258089,0.52435214,17.249498,2.1317968,1.9459101,-6.8875526,4.1673904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.796448,0.01538462
1974,"Carmen",2.6374991,3.1919627,-0.44642755,6.9564014,-0.78870305,-0.44678498,-0.80740964,18.826146,2.5802168,1.7917595,-6.858565,3.7925378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.677184,0.7032967
1975,"Eloise",2.5541811,3.3580527,-0.52974548,6.5238413,-0.70737033,-0.53016963,-0.72414786,20.009916,2.7013612,2.7850112,-6.8617113,4.6273785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.830054,0.5
1976,"Belle",3.2750189,6.5261749,0.19109224,10.725749,-0.95148436,0.19124524,-0.97405183,18.420681,1.9169226,2.1804175,-6.8875526,3.6650854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.889183,0.11111111
1977,"Babe",2.9796616,3.0141873,-0.10426504,8.8783832,-0.97712941,-0.10434852,-1.0003051,16.118096,2.3969858,2.1587147,-6.9027427,2.8945636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.213819,0.01538462
1979,"Bob",3.2235303,3.2482046,0.13960367,10.391148,-0.96851142,0.13971545,-0.99148274,16.811243,1.96851,1.8405496,-6.8936564,3.7320291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.062052,0.01538462
1979,"David1",2.9969911,4.6641023,-0.08693551,8.9819558,-0.98044282,-0.08700512,-1.0036971,18.890684,2.3025851,1.6094379,-6.8793558,3.8199367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.314775,0.03571429
1979,"David2",3.0261755,3.7746521,-0.05775109,9.1577384,-0.98466542,-0.05779732,-1.0080199,18.890684,2.737609,1.6094379,-6.8772961,3.9867757,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14.711692,0.11111111
1979,"Frederic",2.9801534,4.1360774,-0.10377326,8.8813141,-0.97723171,-0.10385635,-1.0004099,21.556175,2.3978953,2.7080502,-6.8522426,3.5959077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,15.785351,0.55974522
1980,"Allen",2.8912174,3.86502,-0.19270921,8.3591382,-0.95086376,-0.1928635,-0.97341651,19.519293,3.0056826,1.6094379,-6.8511849,3.3265016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.066065,0.36656891
1983,"Alicia",3.6488802,5.6696695,0.56495357,13.314327,-0.66882806,0.56540591,-0.68469144,21.416413,2.2512918,2.5360749,-6.8690145,3.7628377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.647861,0.36656891
