year,nm,lnih,lnhd,clnih,lnih2,clnih2,slnih,slnih2,lncost,lnrain,lnsurge,lnpress,lneTK12,low1,low2,me,nh,ma,ri,ct,ny,nj,de,md,va,nc,sc,ga,fl,al,ms,la,tx,lninc,vwind
1955,Connie,0.75950357,1.5907383,-2.4370923,0.57684568,4.865825,-2.3405213,4.4951713,17.50439,2.5832426,2.0794415,-6.8690145,4.8471703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.25894,0.16562047
1955,Diane,1.1282514,2.891183,-2.0683444,1.2729512,3.2044551,-1.9863853,2.9603561,17.529229,2.9831535,1.7917595,-6.89467,3.0660529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.561573,0.06745818
1955,Ione,0.86247068,1.7676889,-2.3341252,0.74385567,4.3745466,-2.2416343,4.041316,18.293245,2.8112083,1.2809338,-6.8617113,4.3189032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8270384,0.22857143
1956,Flossy,1.6331295,2.8085568,-1.5634664,2.6671118,1.3708335,-1.5015133,1.2664104,17.025305,2.8154087,2.00148,-6.8814113,3.4313289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12.871368,0.06745818
1957,Audrey,2.0813481,2.3875366,-1.1152478,4.3320098,0.17018391,-1.0710555,0.15722017,18.826146,2.3636802,2.4849066,-6.8522426,4.2474743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.943597,0.5
1958,Helene,1.6249494,2.7839342,-1.5716464,2.6404606,1.3964788,-1.5093692,1.2901022,16.231424,2.11505,2.014903,-6.8437499,3.6135932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.741805,0.5
1959,Cindy,1.6246722,3.7000336,-1.5719236,2.6395599,1.3973501,-1.5096354,1.2909071,11.225243,2.2813615,1.3862944,-6.9027427,3.6897641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.780394,0.01538462
1959,Gracie,1.8010012,3.4155712,-1.3955946,3.2436055,0.8740906,-1.3402935,0.80750685,16.454568,2.5802168,2.4849066,-6.8575141,4.0735852,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.076862,0.55974522
1960,Donna1,2.8472185,2.4173688,-0.34937733,8.1066532,-0.95152914,-0.33553309,-0.87904651,19.519293,2.5832426,2.5649494,-6.8351846,3.3553146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.664814,0.66137566
1960,Donna2,1.5953572,2.7069057,-1.6012386,2.5451647,1.4903714,-1.5377888,1.3768426,17.849751,1.8718022,2.0794415,-6.8648478,4.4793259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.158358,0.36656891
1960,Donna3,2.1653196,5.636624,-1.0312762,4.6886089,-0.01006296,-0.99041144,-0.00929642,17.216708,2.0794415,2.3025851,-6.8679744,3.6768442,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15.652611,0.22857143
1961,Carla,1.5649339,2.3528494,-1.631662,2.449018,1.5887271,-1.5670066,1.467706,19.827268,2.8599126,2.8094027,-6.8362593,2.9088535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.420272,0.66137566
1963,Cindy,1.6619187,4.2642629,-1.5346771,2.7619738,1.2816402,-1.4738648,1.1840114,16.346028,3.1570004,1.6094379,-6.9037473,3.8490235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.501281,0.01538462
1964,Cleo,1.9104348,4.7223939,-1.286161,3.6497612,0.58061648,-1.2351963,0.53638808,18.671439,2.6623552,1.7917595,-6.8752321,2.715771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.376337,0.22857143
1964,Dora,1.9935208,4.5033746,-1.203075,3.9741253,0.3737958,-1.1554026,0.34532195,19.336971,3.1667401,2.4849066,-6.8731638,3.4932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.021441,0.36656891
1964,Hilda,1.777451,2.7896286,-1.4191448,3.1593321,0.94037832,-1.3629105,0.86874511,18.643824,2.8741295,2.3025851,-6.856462,3.539128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.795195,0.36656891
1964,Isbell,2.2250275,3.2962518,-0.97156829,4.9507476,-0.12964872,-0.93306944,-0.11977274,16.118096,2.2470724,1.6094379,-6.8814113,2.9245152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.133738,0.5
1965,Betsy1,2.0006961,4.9476626,-1.1958997,4.002785,0.35658244,-1.1485116,0.32941981,18.752643,2.3978953,2.1972246,-6.858565,4.1435781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.94907,0.73979822
1965,Betsy2,1.9679691,4.6117136,-1.2286267,3.8729026,0.43592987,-1.1799418,0.40272297,20.971008,2.5022553,2.7212954,-6.8543545,4.8729663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.649272,0.55974522
1966,Alma1,2.0883485,2.9465606,-1.1082473,4.3611996,0.15461841,-1.0643325,0.14284037,12.715898,2.296567,1.6094379,-6.8775022,4.2859229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.66137566
1966,Alma2,1.6651082,1.5601306,-1.5314877,2.7725852,1.2718608,-1.4708017,1.1749769,16.123083,2.1972246,2.3025851,-6.8895913,3.8757061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.152171,0.11111111
1966,Inez,2.0883485,2.9465606,-1.1082473,4.3611996,0.15461841,-1.0643325,0.14284037,15.424948,1.5686159,1.6094379,-6.8906091,2.9241547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.06745818
1967,Beulah,1.8407786,3.3486741,-1.3558172,3.388466,0.7646466,-1.3020923,0.70639973,19.113828,3.3098128,2.4849066,-6.856462,3.4087871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.608703,0.77142857
1968,Gladys,2.0248325,2.6872553,-1.1717633,4.0999466,0.29943567,-1.1253317,0.27662619,15.717618,2.6246686,1.8718022,-6.8844867,3.3155722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.693863,0.03571429
1969,Camille,2.430677,3.2825556,-0.76591885,5.9081906,-0.48696197,-0.73556895,-0.4498677,20.970126,2.3085672,2.7080502,-6.8123451,3.3933083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13.344346,0.82236842
1969,Gerda,1.6876313,1.7019928,-1.5089646,2.8480993,1.2033804,-1.4491711,1.111713,10.221941,1.7351891,1.7917595,-6.8875526,4.6536907,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.23423,0.2967033
1970,Celia,2.418697,3.6389064,-0.77789886,5.850095,-0.46846702,-0.74707425,-0.4327816,20.650695,1.9823798,2.2192035,-6.8511849,3.3211621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.907658,0.5
1971,Fern,2.1861499,2.381398,-1.010446,4.7792512,-0.05259261,-0.97040656,-0.04858638,17.224345,3.2580965,1.7917595,-6.8865316,3.8699677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.63903,0.01538462
1971,Edith,2.4341852,3.2091427,-0.76241059,5.9252578,-0.49232375,-0.73219971,-0.45482104,17.034386,2.1587147,1.7578579,-6.8855097,3.6634765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.419013,0.16562047
1971,Ginger,2.1027886,3.2729641,-1.0938072,4.42172,0.12282054,-1.0504646,0.1134647,16.118096,2.745988,1.3862944,-6.9027427,4.6959587,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.636805,0.01538462
1972,Agnes,1.8890266,1.9379706,-1.3075692,3.5684216,0.63614358,-1.2557562,0.58768542,17.249498,2.1317968,1.9459101,-6.8875526,4.1673904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.826376,0.01538462
1974,Carmen,2.6419242,3.1919627,-0.55467162,6.9797635,-0.76593305,-0.5326925,-0.70758819,18.826146,2.5802168,1.7917595,-6.858565,3.7925378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.681609,0.7032967
1975,Eloise,2.7007754,3.3580527,-0.49582048,7.2941875,-0.82775571,-0.47617336,-0.76470151,20.009916,2.7013612,2.7850112,-6.8617113,4.6273785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.976648,0.5
1976,Belle,3.280693,6.5261749,0.08409713,10.762946,-1.0665213,0.08076474,-0.98527919,18.420681,1.9169226,2.1804175,-6.8875526,3.6650854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.894857,0.11111111
1977,Babe,2.9780651,3.0141873,-0.21853074,8.8688717,-1.025838,-0.20987136,-0.94769488,16.118096,2.3969858,2.1587147,-6.9027427,2.8945636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.212222,0.01538462
1979,Bob,3.2162248,3.2482046,0.01962897,10.344102,-1.0732084,0.01885117,-0.99145683,16.811243,1.96851,1.8405496,-6.8936564,3.7320291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.054746,0.01538462
1979,David1,3.0230384,4.6641023,-0.17355744,9.1387611,-1.0434715,-0.16668015,-0.96398515,18.890684,2.3025851,1.6094379,-6.8793558,3.8199367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.340822,0.03571429
1979,David2,3.0697321,3.7746521,-0.12686369,9.4232554,-1.0574993,-0.12183666,-0.97694437,18.890684,2.737609,1.6094379,-6.8772961,3.9867757,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14.755249,0.11111111
1979,Frederic,3.0293849,4.1360774,-0.16721092,9.1771729,-1.0456342,-0.16058511,-0.9659831,21.556175,2.3978953,2.7080502,-6.8522426,3.5959077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,15.834582,0.55974522
1980,Allen,2.9083481,3.86502,-0.28824775,8.4584886,-0.99050689,-0.27682579,-0.91505514,19.519293,3.0056826,1.6094379,-6.8511849,3.3265016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.083196,0.36656891
1983,Alicia,3.636812,5.6696695,0.4402162,13.226402,-0.87980335,0.42277243,-0.81278443,21.416413,2.2512918,2.5360749,-6.8690145,3.7628377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.635793,0.36656891
1984,Diana,3.0850655,4.2911589,-0.1115303,9.5176294,-1.0611546,-0.10711085,-0.98032131,17.989898,2.9433858,1.7191888,-6.8554088,3.4626508,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.331392,0.36656891
1985,Bob,3.4974242,4.1411625,0.30082838,12.231976,-0.98309594,0.28890792,-0.90820872,16.811243,3.0680529,0.96317432,-6.9107508,3.3987213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.006456,0.01538462
1985,Danny,3.4273217,2.7123169,0.2307259,11.746534,-1.0203592,0.22158327,-0.94263347,17.727534,2.2823824,2.0630581,-6.89467,3.5938016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.190551,0.11111111
1985,Elena,3.3547658,4.19143,0.15816998,11.254454,-1.0485759,0.15190242,-0.96870076,20.946409,2.7517481,2.0630581,-6.8658911,2.9044857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15.983472,0.36656891
1985,Gloria1,2.8932072,3.3590728,-0.30338867,8.3706477,-0.98154897,-0.29136675,-0.90677959,18.420681,1.9586853,1.7917595,-6.8480053,4.1143179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.787072,0.22857143
1985,Gloria2,3.9496966,5.577375,0.7531008,15.600103,-0.50643285,0.72325882,-0.46785538,20.500122,1.7950873,1.9459101,-6.8679744,4.637345,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18.404507,0.06745818
1985,Juan,3.4824141,3.0043334,0.28581828,12.127208,-0.99190156,0.2744926,-0.91634357,21.128731,2.8780742,2.1041342,-6.8783265,3.3393977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.015995,0.06745818
1985,Kate,3.2383752,3.5556058,0.04177936,10.487074,-1.0718481,0.04012384,-0.99020023,19.519293,2.1186623,2.3823201,-6.8741985,3.8135568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.323345,0.16562047
1986,Bonnie,3.5209503,4.631865,0.32435446,12.397091,-0.96838784,0.31150176,-0.89462101,17.55318,2.5649494,1.6582281,-6.8977049,3.8088556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.304147,0.06745818
1986,Charley,2.9897291,3.2403687,-0.20686672,8.9384801,-1.0307998,-0.19866953,-0.95227875,16.523561,2.1529243,1.3711807,-6.8977049,3.3378678,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.064553,0.01538462
1987,Floyd,3.6656569,5.5796275,0.46906109,13.437041,-0.85357535,0.45047432,-0.78855434,13.122363,2.3095607,1.3862944,-6.9007307,4.4240001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.236881,0.01538462
1988,Florence,3.5637119,3.2215496,0.3671161,12.700043,-0.93881942,0.35256896,-0.86730496,16.811243,2.3786198,1.7749524,-6.8916259,2.2169609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.994646,0.03571429
1989,Chantal,3.6299588,4.6855195,0.43336301,13.176601,-0.88579016,0.4161908,-0.81831519,18.420681,2.9957323,1.9300711,-6.8936564,3.6613171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.86862,0.03571429
1989,Hugo,3.6677385,4.4037174,0.47114264,13.452305,-0.85161827,0.45247339,-0.78674634,22.679268,2.3302003,2.9856819,-6.8394764,4.2031576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.530215,0.61359571
1989,Jerry,3.6622916,4.5601453,0.46569578,13.41238,-0.8567211,0.44724237,-0.79146046,18.064006,1.903599,1.9300711,-6.8906091,3.2700812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.711061,0.06745818
1991,Bob,4.1088448,6.1645288,0.91224897,16.882606,-0.24139546,0.87610068,-0.22300719,21.128731,2.1090003,1.8809906,-6.8690145,3.731226,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18.750637,0.22857143
1992,Andrew1,3.889257,5.5510106,0.69266119,15.12632,-0.59381413,0.66521417,-0.5485804,23.959589,2.6376277,2.6700021,-6.8265452,3.465664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.168627,0.79876558
1992,Andrew2,3.635249,3.3717305,0.43865321,13.215036,-0.88117701,0.42127137,-0.81405345,20.781535,2.4782177,2.0794415,-6.8458799,3.5906393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.462671,0.61359571
1993,Emily,3.0170654,3.2677331,-0.17953045,9.1026835,-1.0413625,-0.17241647,-0.9620368,17.370859,2.014903,2.3194422,-6.8679744,3.3378346,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.187599,0.36656891
1995,Erin1,3.87391,5.0859528,0.67731419,15.007179,-0.61483914,0.6504753,-0.56800384,19.673444,2.383243,1.8809906,-6.8916259,3.3218865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.606718,0.06745818
1995,Erin2,3.8198806,4.0954877,0.6232848,14.591488,-0.68510972,0.59858684,-0.63292156,19.673444,2.0794415,1.9286187,-6.8803841,3.8751748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.484991,0.16562047
