year,nm,lnih,lnhd,clnih,lnih2,clnih2,slnih,slnih2,lncost,lnrain,lnsurge,lnpress,lneTK12,low1,low2,me,nh,ma,ri,ct,ny,nj,de,md,va,nc,sc,ga,fl,al,ms,la,tx,lninc,vwind
1955,Connie,0.75950357,1.5907383,-2.1002993,0.57684568,3.5716058,-2.2778974,4.5652024,17.50439,2.5832426,2.0794415,-6.8690145,4.8471703,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.25894,0.16562047
1955,Diane,1.1282514,2.891183,-1.7315515,1.2729512,2.1586192,-1.8779688,2.7591325,17.529229,2.9831535,1.7917595,-6.89467,3.0660529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.561573,0.06745818
1955,Ione,0.86247068,1.7676889,-1.9973322,0.74385567,3.1496846,-2.1662235,4.0259055,18.293245,2.8112083,1.2809338,-6.8617113,4.3189032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8270384,0.22857143
1956,Flossy,1.6331295,2.8085568,-1.2266735,2.6671118,0.6650763,-1.330399,0.85009603,17.025305,2.8154087,2.00148,-6.8814113,3.4313289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12.871368,0.06745818
1957,Audrey,2.0813481,2.3875366,-0.77845484,4.3320098,-0.23365953,-0.84427977,-0.29866203,18.826146,2.3636802,2.4849066,-6.8522426,4.2474743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.943597,0.5
1958,Helene,1.6249494,2.7839342,-1.2348535,2.6404606,0.68521169,-1.3392708,0.87583294,16.231424,2.11505,2.014903,-6.8437499,3.6135932,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.741805,0.5
1959,Cindy,1.6246722,3.7000336,-1.2351307,2.6395599,0.68589628,-1.3395714,0.87670799,11.225243,2.2813615,1.3862944,-6.9027427,3.6897641,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.780394,0.01538462
1959,Gracie,1.8010012,3.4155712,-1.0588017,3.2436055,0.28140951,-1.1483323,0.35969573,16.454568,2.5802168,2.4849066,-6.8575141,4.0735852,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.076862,0.55974522
1960,Donna1,2.8472185,2.4173688,-0.01258441,8.1066532,-0.83949311,-0.01364853,-1.0730344,19.519293,2.5832426,2.5649494,-6.8351846,3.3553146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.664814,0.66137566
1960,Donna2,1.5953572,2.7069057,-1.2644457,2.5451647,0.75917144,-1.3713652,0.97036779,17.849751,1.8718022,2.0794415,-6.8648478,4.4793259,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.158358,0.36656891
1960,Donna3,2.1653196,5.636624,-0.69448333,4.6886089,-0.35734438,-0.75320775,-0.45675517,17.216708,2.0794415,2.3025851,-6.8679744,3.6768442,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15.652611,0.22857143
1961,Carla,1.5649339,2.3528494,-1.2948691,2.449018,0.83703439,-1.4043612,1.0698917,19.827268,2.8599126,2.8094027,-6.8362593,2.9088535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.420272,0.66137566
1963,Cindy,1.6619187,4.2642629,-1.1978842,2.7619738,0.59527506,-1.2991754,0.76087655,16.346028,3.1570004,1.6094379,-6.9037473,3.8490235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.501281,0.01538462
1964,Cleo,1.9104348,4.7223939,-0.94936809,3.6497612,0.0616483,-1.0296452,0.07879843,18.671439,2.6623552,1.7917595,-6.8752321,2.715771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.376337,0.22857143
1964,Dora,1.9935208,4.5033746,-0.86628208,3.9741253,-0.08920682,-0.93953354,-0.11402356,19.336971,3.1667401,2.4849066,-6.8731638,3.4932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.021441,0.36656891
1964,Hilda,1.777451,2.7896286,-1.0823519,3.1593321,0.33183414,-1.1738739,0.42414815,18.643824,2.8741295,2.3025851,-6.856462,3.539128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.795195,0.36656891
1964,Isbell,2.2250275,3.2962518,-0.63477537,4.9507476,-0.4367117,-0.68845098,-0.55820194,16.118096,2.2470724,1.6094379,-6.8814113,2.9245152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.133738,0.5
1965,Betsy1,2.0006961,4.9476626,-0.85910678,4.002785,-0.10158701,-0.93175151,-0.12984783,18.752643,2.3978953,2.1972246,-6.858565,4.1435781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.94907,0.73979822
1965,Betsy2,1.9679691,4.6117136,-0.89183377,3.8729026,-0.044284,-0.96724584,-0.05660351,20.971008,2.5022553,2.7212954,-6.8543545,4.8729663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.649272,0.55974522
1966,Alma1,2.0883485,2.9465606,-0.77145438,4.3611996,-0.24450961,-0.83668736,-0.31253053,12.715898,2.296567,1.6094379,-6.8775022,4.2859229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.66137566
1966,Alma2,1.6651082,1.5601306,-1.1946947,2.7725852,0.58764404,-1.2957163,0.75112263,16.123083,2.1972246,2.3025851,-6.8895913,3.8757061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.152171,0.11111111
1966,Inez,2.0883485,2.9465606,-0.77145438,4.3611996,-0.24450961,-0.83668736,-0.31253053,15.424948,1.5686159,1.6094379,-6.8906091,2.9241547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.947205,0.06745818
